Timestamp;Temperature1;Temperature2;Temperature3;Luminance1;Luminance2;Luminance3
1673954512.7071536;427;424;422;240;956;970
1673954542.7125025;384;382;380;182;956;969
1673954572.7075436;383;381;379;181;957;970
1673954602.7314956;381;378;377;178;957;969
1673954632.7334921;380;378;375;176;956;969
1673954662.7472868;378;375;374;174;957;970
1673954692.7590938;376;374;372;171;957;969
1673954722.7692297;375;372;370;170;956;969
1673954752.7822285;374;372;370;169;956;970
1673954813.690335;373;371;369;167;956;970
1673954814.9571805;374;372;370;169;956;969
1673954842.814268;373;369;368;165;957;970
1673954872.8181374;373;370;368;166;956;969
1673954902.8267245;373;370;368;167;956;970
1673954932.8384027;373;370;369;167;956;970
1673954962.8479166;373;370;368;167;956;970
1673954992.8683972;372;370;368;167;957;970
1673955022.875519;371;369;367;165;956;969
1673955052.8818166;372;369;367;165;956;969
1673955082.9018695;370;367;365;164;952;965
1673955584.822037;368;365;363;163;950;964
1673955586.1106274;368;364;363;161;952;964
1673955587.11912;367;364;362;160;952;965
1673955588.1194634;367;364;362;160;954;966
1673955589.1301012;365;362;360;158;953;965
1673955590.1456661;365;362;359;157;951;964
1673955591.1475337;352;350;348;156;899;922
1673955592.1620114;363;362;360;158;952;963
1673955593.1682127;365;362;360;159;951;963
1673955594.1726522;365;362;360;158;951;963
1673955595.1778197;365;362;360;158;951;963
1673955596.1836495;365;363;361;158;953;964
1673955597.197717;361;358;356;154;955;968
1673955598.2027168;359;357;355;157;953;966
1673955599.2170272;363;361;359;162;954;966
1673955600.2186484;363;360;358;162;954;966
1673955601.2325878;362;360;358;161;952;966
1673955623.1217153;366;363;361;166;952;965
1673955653.1354947;365;362;360;165;952;965
1673955683.1405313;362;359;357;161;952;965
1673955713.1590629;364;361;359;163;952;966
1673955743.1645067;362;359;357;160;952;965
1673955773.1807177;364;361;359;163;952;965
1673955803.1885793;365;362;360;165;952;965
1673955833.2072556;363;361;359;163;952;964
1673955863.2177215;365;362;360;165;952;964
1673955992.405093;373;371;369;176;953;964
1673955993.6949923;361;358;357;161;950;961
1673955994.7925398;358;356;354;159;945;956
1673955995.8007574;359;356;355;161;943;950
1673956013.2719378;358;355;353;160;943;950
1673956043.282891;357;354;352;156;953;958
1673956073.3014152;362;359;357;163;953;959
1673956103.3137238;356;353;352;155;952;957
1673956133.3091853;364;361;359;165;952;957
1673956163.3231525;353;351;349;161;910;925
1673956193.3400602;348;346;344;163;883;901
1673956223.3490095;375;373;371;188;925;936
1673956253.360675;363;361;360;165;953;959
1673956283.3764095;374;371;370;180;953;958
1673956313.3800845;378;377;374;197;903;915
1673956343.3968651;349;347;345;167;885;896
1673956373.4029212;372;370;368;179;952;955
1673956403.4182181;398;395;394;214;945;951
1673956520.1089413;358;356;354;172;907;917
1673956521.4307885;353;350;349;171;884;899
1673956522.4437506;353;350;349;171;879;896
1673956523.4638178;457;454;452;312;874;892
1673956553.4596462;357;355;353;177;877;895
1673956583.467155;376;375;372;206;868;887
1673956613.4837282;361;358;356;167;925;938
1673956643.4879441;352;350;349;171;869;892
1673956673.4994092;353;351;349;180;847;871
1673956703.5036263;380;377;376;215;848;873
1673956733.5132456;360;357;356;187;850;875
1673956763.5185869;362;360;358;192;844;869
1673956907.913987;364;361;359;194;850;871
1673956909.2881944;367;364;363;193;862;882
1673956910.2984867;371;369;367;195;878;896
1673956911.3074;378;375;374;198;897;913
1673956913.5446217;445;442;441;285;909;924
1673956943.5580215;373;371;369;188;910;925
1673956973.5620565;385;382;381;203;911;925
1673957003.5612223;380;378;376;197;912;927
1673957033.5797281;370;368;367;180;929;941
1673957063.5808115;372;370;369;182;930;942
1673957093.5896373;440;438;436;271;937;948
1673957123.5988145;373;370;369;191;900;916
1673957153.6023388;388;385;384;205;920;934
1673957183.6049995;376;374;373;197;895;911
1673957213.620498;371;369;367;188;901;917
1673957243.6149642;387;385;383;200;936;947
1673957273.6321988;385;383;381;200;926;938
1673957303.639301;376;374;372;191;912;927
1673957333.6356156;375;373;371;189;915;931
1673957363.6414046;367;365;363;171;942;952
1673957393.6481173;382;379;378;187;956;963
1673957423.6677718;381;378;377;186;953;961
1673957453.6651795;377;375;373;180;955;964
1673957483.68758;376;373;372;179;954;964
1673957513.6841245;375;372;371;178;954;964
1673957543.6924367;373;370;369;175;953;964
1673957573.7006016;371;369;367;173;954;964
1673957603.7171009;371;367;366;171;954;964
1673957633.730802;435;432;431;259;952;961
1673957663.7434328;351;348;346;146;953;961
1673957693.7452908;363;358;359;160;953;961
1673957723.764203;364;362;360;164;954;961
1673957753.77161;371;369;367;174;953;961
1673957783.7894645;347;345;343;142;954;961
1673957813.7999759;368;366;364;170;953;961
1673957843.79814;354;352;350;153;953;960
1673957873.8183007;353;351;350;151;953;960
1673957903.8261573;359;356;355;159;954;961
1673957933.844251;359;356;355;158;953;961
1673957963.859136;358;355;353;158;954;959
1673957993.8558116;358;355;353;157;954;958
1673958023.8726876;358;355;353;158;954;958
1673958053.8809934;357;354;353;157;954;956
1673958083.9077897;356;354;352;156;953;957
1673958113.9079652;356;353;351;156;953;955
1673958143.9358838;346;343;342;142;953;956
1673958173.9394078;354;351;350;154;949;952
1673958203.9579406;355;353;351;155;953;955
1673958233.9609675;355;353;351;156;954;956
1673958263.974049;355;353;352;155;954;956
1673958293.9854727;354;351;350;154;955;957
1673958323.995016;356;354;352;157;955;956
1673958354.0209239;354;352;348;156;941;946
1673958384.0230892;343;340;338;145;926;935
1673958414.0384028;345;343;341;158;888;904
1673958642.9507482;352;350;348;161;914;925
1673958644.2437117;329;327;325;119;954;958
1673958645.4546356;357;354;353;157;955;958
1673958646.4613068;336;334;332;158;846;870
1673958647.4629083;372;369;368;184;924;934
1673958648.466451;336;334;332;163;822;854
1673958649.5131345;365;363;361;168;954;957
1673958654.1326914;360;358;356;162;952;956
1673958684.1344266;383;381;379;192;955;958
1673958714.1542156;363;360;359;164;954;957
1673958744.1650496;367;365;364;171;950;955
1673958774.1767585;427;425;423;251;956;959
1673958804.187381;412;408;407;233;939;945
1673958834.19813;358;355;353;174;895;908
1673958864.2049274;350;347;346;165;885;899
1673958894.2159736;346;344;343;166;871;886
1673958924.2262046;353;351;349;173;875;889
1673958954.233227;337;334;333;154;870;882
1673958984.243435;396;394;392;216;926;934
1673959014.2501915;354;352;351;170;892;903
1673959044.2573032;358;355;353;178;881;894
1673959074.2640169;356;354;352;170;897;911
1673959104.2702415;367;365;363;188;888;904
1673959134.2770739;668;666;664;595;863;887
1673959164.283782;367;364;364;192;848;874
1673959194.2938719;361;359;358;187;844;866
1673959224.3000195;330;329;327;142;860;878
1673959254.3076894;361;359;357;180;871;889
1673959284.3105128;450;448;446;297;876;894
1673959314.316889;387;385;384;210;884;903
1673959344.3231733;382;379;378;204;879;898
1673959374.330835;380;378;377;201;879;898
1673959404.3368886;462;460;459;304;900;917
1673959434.3429532;390;387;386;193;955;961
1673959464.3504367;379;377;375;205;860;884
1673959494.3565266;368;366;364;192;861;882
1673959524.3629231;384;382;380;185;956;963
1673959554.373596;372;370;368;181;910;925
1673959584.3835065;379;378;375;181;947;954
1673959614.3873234;345;343;341;131;959;966
1673959644.3977816;375;373;371;181;925;936
1673959674.4089463;368;366;364;173;925;937
1673959704.4193964;364;362;360;173;902;917
1673959734.4262912;358;356;354;169;888;907
1673959764.4363816;360;358;356;178;863;887
1673959794.4431741;364;361;360;184;862;882
1673959824.4538999;363;361;359;180;875;891
1673959854.4609752;410;408;406;220;954;960
1673959884.4678056;383;381;379;184;951;958
1673959914.4781005;374;372;370;182;919;932
1673959944.4888182;395;393;391;216;899;916
1673959974.4954953;363;360;358;173;890;909
1673960004.5024698;370;368;367;182;901;919
1673960034.5134528;381;378;377;202;875;897
1673960064.519521;343;340;339;151;877;897
1673960094.5261862;361;359;357;175;882;900
1673960124.5370777;360;358;356;175;880;898
1673960154.5440996;304;302;301;99;881;899
1673960184.5510354;333;330;329;138;874;895
1673960214.5567894;361;358;357;183;853;878
1673960244.5640423;411;409;406;256;836;862
1673960274.5743024;346;344;343;172;824;851
1673960304.580921;357;355;352;188;822;847
1673960334.5876231;360;358;356;190;833;854
1673960364.5944133;374;371;370;204;840;858
1673960394.601345;372;370;368;199;847;867
1673960424.6075106;373;371;369;201;843;863
1673960454.6100085;373;371;369;206;832;850
1673960484.6176376;362;361;358;194;821;843
1673960514.6240315;360;358;356;194;810;834
1673960544.6300828;358;355;354;193;802;831
1673960574.637073;352;350;348;184;803;831
1673960604.6389432;373;373;372;211;819;842
1673960634.6461813;383;382;380;215;848;865
1673960664.652889;389;387;385;202;916;923
1673960694.6589887;395;394;392;203;943;946
1673960724.6663728;375;373;372;194;877;891
1673960754.6722884;384;382;380;204;887;899
1673960784.679339;451;449;448;290;906;916
1673960814.685798;360;358;357;176;870;888
1673960844.6888576;364;361;360;183;856;877
1673960874.6946125;367;365;363;194;835;859
1673960904.7018082;460;457;456;319;845;865
1673960934.7078054;339;337;335;160;840;863
1673960964.7153108;306;304;302;115;841;864
1673960994.7219148;371;369;367;205;829;854
1673961024.7285302;360;357;356;197;797;834
1673961054.7311618;358;356;354;209;742;793
1673961084.7380452;362;360;358;221;719;770
1673961114.7441657;359;357;355;222;729;775
