Timestamp;Temperature1;Temperature2;Temperature3;Luminance1;Luminance2;Luminance3
1674041731.3362918;402;399;397;226;929;948
1674041761.349868;379;377;374;179;928;949
1674041791.3609548;375;372;371;175;927;946
1674041821.3583024;368;365;363;171;902;927
1674041851.3759248;372;369;367;172;921;940
1674041881.3892741;383;380;379;182;940;957
1674041911.3945813;374;371;369;170;937;952
1674041941.4067142;369;367;365;171;917;933
1674041971.4169815;375;373;370;169;946;957
1674042053.072503;375;372;370;170;945;958
1674042054.461635;368;365;363;169;918;934
1674042061.4499507;367;365;363;184;869;889
1674042091.452832;355;353;351;175;850;867
1674042121.4604645;361;359;357;181;855;871
1674042151.474577;513;511;509;386;861;878
1674042181.4769018;376;373;372;199;861;879
1674042211.4878578;368;365;364;186;863;881
1674042241.491682;368;366;364;187;862;881
1674042271.504282;358;355;354;181;838;858
1674042301.5117862;355;352;351;181;828;848
1674042331.513941;359;357;355;191;813;835
1674042361.5172303;366;364;362;204;800;824
1674042391.527887;364;362;360;204;789;817
1674042421.5243595;422;420;418;292;768;794
1674042451.5412748;346;344;342;191;760;787
1674042481.537846;304;301;300;139;753;776
1674042511.545361;485;483;481;385;749;788
1674042541.5504925;413;410;408;287;750;790
1674042571.5597105;398;396;394;266;762;795
1674042601.566254;352;349;347;201;772;804
1674042631.5586572;363;360;358;216;769;802
1674042661.5754766;351;349;347;199;779;811
1674042691.5749;361;357;356;204;799;830
1674042721.57097;360;357;355;198;821;849
1674042751.5902412;380;377;375;211;861;886
1674042781.5843234;378;375;373;202;885;907
1674042811.600429;250;248;247;48;845;871
1674042841.6035016;344;341;339;175;826;855
1674042871.602862;398;394;393;231;880;902
1674042901.6115153;353;350;348;181;842;871
1674042931.6193962;509;506;504;395;823;857
1674042961.6214638;312;308;307;134;810;849
1674042991.6197565;380;377;375;220;825;863
1674043021.632002;445;442;440;319;772;823
1674043051.6278882;350;347;346;197;760;812
1674043081.6448257;342;339;337;183;778;824
1674043111.6514857;732;730;729;696;807;846
1674043141.6395795;473;469;467;331;922;933
